Cohort_Position,Holdout_Position,True_Family,Predicted_Family,Prediction_Correct,Confidence,ATTACK_Candidate_Count,ATTACK_Candidate_IDs,Highest_Evidence_Level,High_Evidence_Feature_Count,Medium_Evidence_Feature_Count,Total_Positive_SHAP,ATTACK_Positive_SHAP,ATTACK_Normalized_SHAP_Support,Direct_Detection_Claim,Causal_Claim,ATTACK_Ground_Truth,Analyst_Validation_Required
0,753,Benign,Benign,True,0.9998762607574463,0,,CONTEXT_ONLY,0,0,5.990708369761705,0.0,0.0,False,False,False,True
1,3608,Benign,Benign,True,0.9999687671661377,0,,CONTEXT_ONLY,0,0,5.902054481208324,0.0,0.0,False,False,False,True
2,828,Benign,Benign,True,0.9999725818634033,1,T1620,MEDIUM_CANDIDATE,0,1,5.707978080958128,0.08102012425661087,0.014194189800219243,False,False,False,True
3,3079,Benign,Benign,True,0.9999727010726929,0,,CONTEXT_ONLY,0,0,5.836405038833618,0.0,0.0,False,False,False,True
4,3563,Benign,Benign,True,0.9999606609344482,0,,CONTEXT_ONLY,0,0,5.869198609143496,0.0,0.0,False,False,False,True
5,3194,Benign,Benign,True,0.9999668598175049,0,,CONTEXT_ONLY,0,0,5.922363605350256,0.0,0.0,False,False,False,True
6,2275,Benign,Benign,True,0.9999699592590332,0,,CONTEXT_ONLY,0,0,5.958745069801807,0.0,0.0,False,False,False,True
7,2634,Benign,Benign,True,0.9999746084213257,0,,CONTEXT_ONLY,0,0,5.843251522630453,0.0,0.0,False,False,False,True
8,2925,Benign,Benign,True,0.9999693632125854,1,T1620,MEDIUM_CANDIDATE,0,1,5.702165707945824,0.08102338016033173,0.014209229319208962,False,False,False,True
9,4323,Benign,Benign,True,0.9999700784683228,0,,CONTEXT_ONLY,0,0,5.93522709980607,0.0,0.0,False,False,False,True
10,2184,Benign,Benign,True,0.9999560117721558,0,,CONTEXT_ONLY,0,0,5.896734602749348,0.0,0.0,False,False,False,True
11,2500,Benign,Benign,True,0.9999678134918213,0,,CONTEXT_ONLY,0,0,5.805653303861618,0.0,0.0,False,False,False,True
12,705,Benign,Benign,True,0.9999675750732422,0,,CONTEXT_ONLY,0,0,5.83001583814621,0.0,0.0,False,False,False,True
13,4077,Benign,Benign,True,0.9994082450866699,0,,CONTEXT_ONLY,0,0,5.802442468702793,0.0,0.0,False,False,False,True
14,2878,Benign,Benign,True,0.9999722242355347,0,,CONTEXT_ONLY,0,0,5.875476777553558,0.0,0.0,False,False,False,True
15,3036,Benign,Benign,True,0.9999706745147705,0,,CONTEXT_ONLY,0,0,5.830998659133911,0.0,0.0,False,False,False,True
16,4429,Benign,Benign,True,0.9999297857284546,2,T1014; T1620,MEDIUM_CANDIDATE,0,3,5.39656213670969,0.5012693181633949,0.09288678708126971,False,False,False,True
17,403,Benign,Benign,True,0.9999585151672363,0,,CONTEXT_ONLY,0,0,5.8979626968503,0.0,0.0,False,False,False,True
18,1438,Benign,Benign,True,0.9999690055847168,0,,CONTEXT_ONLY,0,0,5.954319227486849,0.0,0.0,False,False,False,True
19,3152,Benign,Benign,True,0.9999748468399048,1,T1620,MEDIUM_CANDIDATE,0,1,5.716143868863583,0.07062225788831711,0.012354877607787959,False,False,False,True
20,3401,Benign,Benign,True,0.999970555305481,0,,CONTEXT_ONLY,0,0,5.8401410430669785,0.0,0.0,False,False,False,True
21,3332,Benign,Benign,True,0.9999687671661377,0,,CONTEXT_ONLY,0,0,5.887584149837494,0.0,0.0,False,False,False,True
22,1105,Benign,Benign,True,0.9998914003372192,2,T1014; T1620,MEDIUM_CANDIDATE,0,3,5.228695500642061,0.4913274981081486,0.09396751026098492,False,False,False,True
23,2048,Benign,Benign,True,0.9999732971191406,1,T1620,MEDIUM_CANDIDATE,0,1,5.709391623735428,0.0701364129781723,0.012284393434599401,False,False,False,True
24,2594,Benign,Benign,True,0.9999703168869019,1,T1620,MEDIUM_CANDIDATE,0,1,5.699950724840164,0.08102338016033173,0.014214750981483924,False,False,False,True
25,3471,Benign,Benign,True,0.9999669790267944,0,,CONTEXT_ONLY,0,0,5.922363605350256,0.0,0.0,False,False,False,True
26,3845,Benign,Benign,True,0.9999728202819824,0,,CONTEXT_ONLY,0,0,5.8441182076931,0.0,0.0,False,False,False,True
27,2043,Benign,Benign,True,0.9999686479568481,0,,CONTEXT_ONLY,0,0,5.880295678973198,0.0,0.0,False,False,False,True
