feature_name,forensic_source,forensic_observation,behavioral_hypothesis,attack_candidate_id,attack_candidate_name,evidence_level,direct_detection_allowed,causal_claim_allowed,analyst_validation_required,note
pslist.nproc,pslist,"Aggregate process, parent-process, thread, architecture, and handle statistics.",General process-execution context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
pslist.nppid,pslist,"Aggregate process, parent-process, thread, architecture, and handle statistics.",General process-execution context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
pslist.avg_threads,pslist,"Aggregate process, parent-process, thread, architecture, and handle statistics.",General process-execution context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
pslist.nprocs64bit,pslist,"Aggregate process, parent-process, thread, architecture, and handle statistics.",General process-execution context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
pslist.avg_handlers,pslist,"Aggregate process, parent-process, thread, architecture, and handle statistics.",General process-execution context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
dlllist.ndlls,dlllist,Aggregate DLL-loading statistics across processes.,General process module-loading context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
dlllist.avg_dlls_per_proc,dlllist,Aggregate DLL-loading statistics across processes.,General process module-loading context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.nhandles,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.avg_handles_per_proc,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.nport,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.nfile,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.nevent,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.ndesktop,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.nkey,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.nthread,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.ndirectory,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.nsemaphore,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.ntimer,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.nsection,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
handles.nmutant,handles,Aggregate Windows object-handle statistics.,General operating-system resource interaction context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
ldrmodules.not_in_load,ldrmodules,Discrepancies between expected Windows loader structures and observed modules.,"Possible hidden, unlinked, manually mapped, or non-standard memory-resident modules.",T1620,Reflective Code Loading,MEDIUM_CANDIDATE,False,False,True,Candidate mapping requires analyst validation and supporting evidence.
ldrmodules.not_in_init,ldrmodules,Discrepancies between expected Windows loader structures and observed modules.,"Possible hidden, unlinked, manually mapped, or non-standard memory-resident modules.",T1620,Reflective Code Loading,MEDIUM_CANDIDATE,False,False,True,Candidate mapping requires analyst validation and supporting evidence.
ldrmodules.not_in_mem,ldrmodules,Discrepancies between expected Windows loader structures and observed modules.,"Possible hidden, unlinked, manually mapped, or non-standard memory-resident modules.",T1620,Reflective Code Loading,MEDIUM_CANDIDATE,False,False,True,Candidate mapping requires analyst validation and supporting evidence.
ldrmodules.not_in_load_avg,ldrmodules,Discrepancies between expected Windows loader structures and observed modules.,"Possible hidden, unlinked, manually mapped, or non-standard memory-resident modules.",T1620,Reflective Code Loading,MEDIUM_CANDIDATE,False,False,True,Candidate mapping requires analyst validation and supporting evidence.
ldrmodules.not_in_init_avg,ldrmodules,Discrepancies between expected Windows loader structures and observed modules.,"Possible hidden, unlinked, manually mapped, or non-standard memory-resident modules.",T1620,Reflective Code Loading,MEDIUM_CANDIDATE,False,False,True,Candidate mapping requires analyst validation and supporting evidence.
ldrmodules.not_in_mem_avg,ldrmodules,Discrepancies between expected Windows loader structures and observed modules.,"Possible hidden, unlinked, manually mapped, or non-standard memory-resident modules.",T1620,Reflective Code Loading,MEDIUM_CANDIDATE,False,False,True,Candidate mapping requires analyst validation and supporting evidence.
malfind.ninjections,malfind,Memory-region characteristics associated with suspicious executable or injection-like memory activity.,Observed injection-like memory regions may support a process-memory injection hypothesis.,T1055,Process Injection,HIGH_CANDIDATE,False,False,True,"Strong supporting forensic evidence within this aggregate feature set, but not proof that T1055 occurred."
malfind.commitCharge,malfind,Memory-region characteristics associated with suspicious executable or injection-like memory activity.,Memory-allocation characteristics associated with regions identified by memory analysis.,,,LOW_CONTEXTUAL,False,False,True,Allocation statistics cannot independently establish process injection.
malfind.protection,malfind,Memory-region characteristics associated with suspicious executable or injection-like memory activity.,Memory-protection characteristics that may provide contextual information.,,,LOW_CONTEXTUAL,False,False,True,Protection-related aggregate statistics require additional memory evidence and cannot independently establish T1055.
malfind.uniqueInjections,malfind,Memory-region characteristics associated with suspicious executable or injection-like memory activity.,Distinct injection-like memory observations may support a process-memory injection hypothesis.,T1055,Process Injection,HIGH_CANDIDATE,False,False,True,"One of the strongest injection-oriented features in the dataset; nevertheless, it remains supporting evidence rather than ATT&CK ground truth."
psxview.not_in_pslist,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_eprocess_pool,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_ethread_pool,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_pspcid_list,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_csrss_handles,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_session,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_deskthrd,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_pslist_false_avg,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_eprocess_pool_false_avg,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_ethread_pool_false_avg,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_pspcid_list_false_avg,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_csrss_handles_false_avg,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_session_false_avg,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
psxview.not_in_deskthrd_false_avg,psxview,Cross-view inconsistencies between multiple process-enumeration mechanisms.,Cross-view process inconsistency may support a process-concealment or rootkit-like behavioral hypothesis.,T1014,Rootkit,MEDIUM_CANDIDATE,False,False,True,Cross-view inconsistencies are compatible with process hiding but have alternative forensic explanations. T1014 is therefore a candidate alignment only.
modules.nmodules,modules,Aggregate kernel-module statistics.,General kernel-module context.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
svcscan.nservices,svcscan,Aggregate Windows service and driver statistics recovered from memory.,Service or driver statistics provide context for potential service-related behavior.,,,LOW_CONTEXTUAL,False,False,True,"Aggregate service or driver counts do not demonstrate creation or modification of a Windows Service. Additional event, registry, command, API, or object-level evidence would be required before considering T1543.003."
svcscan.kernel_drivers,svcscan,Aggregate Windows service and driver statistics recovered from memory.,Service or driver statistics provide context for potential service-related behavior.,,,LOW_CONTEXTUAL,False,False,True,"Aggregate service or driver counts do not demonstrate creation or modification of a Windows Service. Additional event, registry, command, API, or object-level evidence would be required before considering T1543.003."
svcscan.fs_drivers,svcscan,Aggregate Windows service and driver statistics recovered from memory.,Service or driver statistics provide context for potential service-related behavior.,,,LOW_CONTEXTUAL,False,False,True,"Aggregate service or driver counts do not demonstrate creation or modification of a Windows Service. Additional event, registry, command, API, or object-level evidence would be required before considering T1543.003."
svcscan.process_services,svcscan,Aggregate Windows service and driver statistics recovered from memory.,Service or driver statistics provide context for potential service-related behavior.,,,LOW_CONTEXTUAL,False,False,True,"Aggregate service or driver counts do not demonstrate creation or modification of a Windows Service. Additional event, registry, command, API, or object-level evidence would be required before considering T1543.003."
svcscan.shared_process_services,svcscan,Aggregate Windows service and driver statistics recovered from memory.,Service or driver statistics provide context for potential service-related behavior.,,,LOW_CONTEXTUAL,False,False,True,"Aggregate service or driver counts do not demonstrate creation or modification of a Windows Service. Additional event, registry, command, API, or object-level evidence would be required before considering T1543.003."
svcscan.interactive_process_services,svcscan,Aggregate Windows service and driver statistics recovered from memory.,Service or driver statistics provide context for potential service-related behavior.,,,LOW_CONTEXTUAL,False,False,True,"Aggregate service or driver counts do not demonstrate creation or modification of a Windows Service. Additional event, registry, command, API, or object-level evidence would be required before considering T1543.003."
svcscan.nactive,svcscan,Aggregate Windows service and driver statistics recovered from memory.,Service or driver statistics provide context for potential service-related behavior.,,,LOW_CONTEXTUAL,False,False,True,"Aggregate service or driver counts do not demonstrate creation or modification of a Windows Service. Additional event, registry, command, API, or object-level evidence would be required before considering T1543.003."
callbacks.ncallbacks,callbacks,Kernel callback-related memory statistics.,Contextual kernel activity requiring additional forensic evidence.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
callbacks.nanonymous,callbacks,Kernel callback-related memory statistics.,Contextual kernel activity requiring additional forensic evidence.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
callbacks.ngeneric,callbacks,Kernel callback-related memory statistics.,Contextual kernel activity requiring additional forensic evidence.,,,LOW_CONTEXTUAL,False,False,True,Aggregate contextual feature; no defensible feature-level ATT&CK candidate is assigned.
